============================================================
Script:  pipeline-revise
Started: 2026-04-12T14:27:35.547Z
============================================================
[14:28:47.324] [SKIP ] the-picture-of-dorian-gray.json (already exists in 2-revised)
[14:28:47.829] [SKIP ] the-pillars-of-the-earth.json (already exists in 2-revised)
[14:28:48.343] [SKIP ] the-princess-bride.json (already exists in 2-revised)
[14:28:48.846] [SKIP ] the-road.json (already exists in 2-revised)
[14:28:49.357] [SKIP ] the-secret-garden.json (already exists in 2-revised)
[14:28:49.860] [SKIP ] the-secret-life-of-bees.json (already exists in 2-revised)
[14:28:50.370] [SKIP ] the-shining.json (already exists in 2-revised)
[14:28:50.877] [SKIP ] the-sisterhood-of-the-traveling-pants.json (already exists in 2-revised)
[14:28:51.381] [SKIP ] the-three-body-problem.json (already exists in 2-revised)
[14:28:51.894] [SKIP ] the-thursday-murder-club.json (already exists in 2-revised)
[14:28:52.399] [SKIP ] the-time-travelers-wife.json (already exists in 2-revised)
[14:28:52.905] [SKIP ] the-witcher.json (already exists in 2-revised)
[14:28:53.413] [SKIP ] the-woman-in-the-window.json (already exists in 2-revised)
[14:28:53.914] [SKIP ] thirteen-reasons-why.json (already exists in 2-revised)
[14:28:54.417] [SKIP ] to-kill-a-mockingbird.json (already exists in 2-revised)
[14:28:54.930] [SKIP ] verity.json (already exists in 2-revised)
[14:28:55.433] [SKIP ] water-for-elephants.json (already exists in 2-revised)
[14:28:55.937] [SKIP ] where-the-crawdads-sing.json (already exists in 2-revised)
[14:28:56.443] [SKIP ] white-noise.json (already exists in 2-revised)
[14:28:56.952] [SKIP ] wolf-hall.json (already exists in 2-revised)
[14:28:57.457] [SKIP ] world-war-z.json (already exists in 2-revised)
[14:28:57.965] [SKIP ] wuthering-heights.json (already exists in 2-revised)

── Summary ─────────────────────────────────────
  Total:               163
  Succeeded:           0
  Skipped:             163
  Failed:              0
  Pass:                2
  Dry run:             no
────────────────────────────────────────────────
[14:28:57.966] [INFO ] No records to checkpoint

============================================================
Finished: 2026-04-12T14:28:57.966Z
Elapsed:  82.4s
Log:      C:\Users\andre\projects\movies\logs\2026-04-12_10-27-35_pipeline-revise.log
============================================================
